epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,157.085,0.4097,0.62014,0.91354,0.99337,1,0.995,0.95808,0.29818,0.38371,0.85841,0.000973861,0.000973861,0.000973861
44,161.926,0.39768,0.66573,0.91065,0.99281,1,0.995,0.97036,0.29878,0.39244,0.8529,0.000957358,0.000957358,0.000957358
45,166.77,0.38692,0.58128,0.88462,0.99198,1,0.995,0.96685,0.29094,0.43167,0.84558,0.000940855,0.000940855,0.000940855
46,171.878,0.38119,0.60413,0.86063,0.99028,1,0.995,0.97441,0.29006,0.44275,0.84723,0.000924352,0.000924352,0.000924352
47,176.807,0.37115,0.56355,0.87862,0.98944,1,0.995,0.98646,0.28172,0.45508,0.83909,0.000907848,0.000907848,0.000907848
48,181.486,0.3786,0.61873,0.90283,0.99159,1,0.995,0.98646,0.27243,0.42256,0.82759,0.000891345,0.000891345,0.000891345
49,186.58,0.36966,0.60031,0.88242,0.99303,1,0.995,0.98951,0.26343,0.38941,0.82936,0.000874842,0.000874842,0.000874842
50,191.487,0.36595,0.71082,0.87201,0.98417,1,0.995,0.98334,0.27611,0.37708,0.83261,0.000858338,0.000858338,0.000858338
51,196.118,0.36446,0.56893,0.88236,0.96545,0.95448,0.995,0.98951,0.29269,0.44315,0.83503,0.000841835,0.000841835,0.000841835
52,200.792,0.40797,0.65852,0.89035,0.98918,1,0.995,0.9889,0.25929,0.3786,0.82984,0.000825332,0.000825332,0.000825332
53,205.543,0.3404,0.50178,0.87568,0.99047,1,0.995,0.98418,0.24189,0.36792,0.8274,0.000808828,0.000808828,0.000808828
54,210.14,0.42005,0.56074,0.93242,0.99199,1,0.995,0.9803,0.27006,0.3746,0.833,0.000792325,0.000792325,0.000792325
55,214.663,0.35412,0.5637,0.87172,0.99308,1,0.995,0.97017,0.27088,0.38238,0.82776,0.000775822,0.000775822,0.000775822
56,219.256,0.33206,0.51077,0.84562,0.99224,1,0.995,0.98951,0.27345,0.37171,0.82102,0.000759318,0.000759318,0.000759318
