epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81983,0.61127,2.9117,1.06813,0.00429,1,0.67901,0.65429,0.2826,2.70985,0.86047,0.00013336,0.00013336,0.00013336
2,11.5291,0.46697,2.14442,0.94596,0.00345,1,0.65728,0.62524,0.32562,2.20607,0.86472,0.000277779,0.000277779,0.000277779
3,14.9694,0.5296,1.65616,1.01645,0.00332,1,0.82209,0.74011,0.44624,2.19913,0.9178,0.000416257,0.000416257,0.000416257
4,18.5358,0.59361,1.32543,1.00521,0.9855,0.75156,0.97094,0.87611,0.46196,1.70196,0.93652,0.000548793,0.000548793,0.000548793
